Statistical profiling result from isolate-0x5d60860-16400-v8.log, (8741 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.1%    0.2%  LazyCompile: *getTypeAliasInstantiation /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:60299:43
      5    0.1%    0.2%  LazyCompile: *getReturnTypeOfSignature /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:59854:42
      5    0.1%    0.2%  LazyCompile: *getConditionalTypeInstantiation /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:63602:49
      4    0.0%    0.2%  LazyCompile: *structuredTypeRelatedTo /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:65590:45
      4    0.0%    0.2%  LazyCompile: *speculationHelper /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:32040:35
      4    0.0%    0.2%  LazyCompile: *some /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:931:18
      4    0.0%    0.2%  LazyCompile: *signaturesRelatedTo /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:66607:41
      4    0.0%    0.2%  LazyCompile: *parseTagComments /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:37733:42
      4    0.0%    0.2%  LazyCompile: *parseJSDocCommentWorker /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:37469:45
      4    0.0%    0.2%  LazyCompile: *isReadonlySymbol /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:78289:34
      4    0.0%    0.2%  LazyCompile: *instantiateTypeWithAlias /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:63630:42
      4    0.0%    0.2%  LazyCompile: *getUnionType /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:61284:30
      4    0.0%    0.2%  LazyCompile: *getTypeFromTypeNodeWorker /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:63151:43
      4    0.0%    0.2%  LazyCompile: *createIdentifier /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:32363:34
